id,type,source,title,url,category,fit_score,used_for
ui-001,ui,beUI,"Approval Card",https://beui.dev/components/agents/approval-card,approval,9,"layout | interaction | approval"
ui-002,ui,beUI,"Agent Activity",https://beui.dev/components/agents/agent-activity,agent-activity,9,"layout | interaction | agent-activity"
ui-003,ui,beUI,"Shader Background",https://beui.dev/components/motion/shader-background,background,9,"layout | interaction | background"
ui-004,ui,Radix,"Dialog",https://www.radix-ui.com/primitives/docs/components/dialog,modal,9,"layout | interaction | modal"
ui-005,ui,beUI,"Tool Approval",https://beui.dev/components/agents/tool-approval,approval,9,"layout | interaction | approval"
ui-006,ui,beUI,"Message Scroller",https://beui.dev/components/agents/message-scroller,streaming,9,"layout | interaction | streaming"
ui-007,ui,beUI,"Tool Result",https://beui.dev/components/agents/tool-result,tool-result,9,"layout | interaction | tool-result"
ui-008,ui,beUI,"Animated Sidebar",https://beui.dev/components/motion/animated-sidebar,navigation,9,"layout | interaction | navigation"
ui-009,ui,beUI,"Command Palette",https://beui.dev/components/blocks/command-palette,command,9,"layout | interaction | command"
ui-010,ui,beUI,"Animated Toast Stack",https://beui.dev/components/motion/animated-toast-stack,feedback,9,"layout | interaction | feedback"
ui-011,ui,beUI,"Morphing Modal",https://beui.dev/components/motion/morphing-modal,modal,9,"layout | interaction | modal"
ui-012,ui,beUI,"Table",https://beui.dev/components/motion/table,table,9,"layout | interaction | table"
ui-013,ui,beUI,"Loader",https://beui.dev/components/motion/loader,loading,9,"layout | interaction | loading"
ui-014,ui,shadcn/ui,"Chart",https://ui.shadcn.com/docs/components/chart,chart,9,"layout | interaction | chart"
ui-015,ui,shadcn/ui,"Data Table",https://ui.shadcn.com/docs/components/data-table,table,9,"layout | interaction | table"
ui-016,ui,Radix,"Alert Dialog",https://www.radix-ui.com/primitives/docs/components/alert-dialog,approval,9,"layout | interaction | approval"
ui-017,ui,Radix,"Tooltip",https://www.radix-ui.com/primitives/docs/components/tooltip,help,9,"layout | interaction | help"
ui-018,ui,Linear,"Roadmaps",https://linear.app/features/roadmaps,workspace,9,"layout | interaction | workspace"
ui-019,ui,Linear,"Command Menu",https://linear.app/docs/command-menu,command,9,"layout | interaction | command"
ui-020,ui,Sentry,"Issue Details",https://docs.sentry.io/product/issues/issue-details/,incident,9,"layout | interaction | incident"
ui-021,ui,Sentry,"Trace View",https://docs.sentry.io/product/explore/traces/trace-view/,trace,9,"layout | interaction | trace"
ui-022,ui,Grafana,"Node Graph",https://grafana.com/docs/grafana/latest/panels-visualizations/visualizations/node-graph/,service-graph,9,"layout | interaction | service-graph"
ui-023,ui,Grafana,"Time Series",https://grafana.com/docs/grafana/latest/panels-visualizations/visualizations/time-series/,chart,9,"layout | interaction | chart"
ui-024,ui,Datadog,"Service Map",https://docs.datadoghq.com/tracing/services/services_map/,service-graph,9,"layout | interaction | service-graph"
ui-025,ui,Datadog,"Log Explorer",https://docs.datadoghq.com/logs/explorer/,logs,9,"layout | interaction | logs"
ui-026,ui,Axiom,"Explore",https://axiom.co/docs/explore,logs,8,"layout | interaction | logs"
ui-027,ui,Better Stack,"Logs",https://betterstack.com/docs/logs/,logs,8,"layout | interaction | logs"
ui-028,ui,incident.io,"Incident Timeline",https://incident.io/guide/incident-timeline,timeline,8,"layout | interaction | timeline"
ui-029,ui,Vercel,"Deployments",https://vercel.com/docs/deployments,deployment,8,"layout | interaction | deployment"
ui-030,ui,Vercel,"Instant Rollback",https://vercel.com/docs/instant-rollback,recovery,8,"layout | interaction | recovery"
ui-031,ui,PagerDuty,"Incident Response",https://support.pagerduty.com/main/docs/incidents,incident,8,"layout | interaction | incident"
ui-032,ui,Atlassian,"Statuspage Incident",https://support.atlassian.com/statuspage/docs/create-an-incident/,status,8,"layout | interaction | status"
ui-033,ui,Primer,"Data Visualization",https://primer.style/product/ui-patterns/data-visualization/,chart,8,"layout | interaction | chart"
ui-034,ui,Carbon,"Data Table",https://carbondesignsystem.com/components/data-table/usage/,table,8,"layout | interaction | table"
ui-035,ui,Carbon,"Structured List",https://carbondesignsystem.com/components/structured-list/usage/,list,8,"layout | interaction | list"
ui-036,ui,GOV.UK,"Focus State",https://design-system.service.gov.uk/styles/focus-states/,accessibility,8,"layout | interaction | accessibility"
ui-037,ui,Shopify Polaris,"Index Table",https://polaris.shopify.com/components/tables/index-table,table,8,"layout | interaction | table"
ui-038,ui,Shopify,"Checkout",https://www.shopify.com/checkout,checkout,8,"layout | interaction | checkout"
ui-039,ui,Audo Copenhagen,"Lighting Collection",https://audocph.com/collections/lighting,retail,8,"layout | interaction | retail"
ui-040,ui,Audo Copenhagen,"Product Detail",https://audocph.com/products/hashira-table-lamp,product,8,"layout | interaction | product"
ui-041,ui,Muuto,"New Perspectives",https://www.muuto.com/,retail,8,"layout | interaction | retail"
ui-042,ui,Muuto,"Product Page",https://www.muuto.com/product/strand-pendant-lamp--p26168/,product,8,"layout | interaction | product"
ui-043,ui,FRAMA,"Collection",https://framacph.com/collections/furniture,retail,8,"layout | interaction | retail"
ui-044,ui,HAY,"New Products",https://www.hay.com/new-products,retail,8,"layout | interaction | retail"
ui-045,ui,Norm Architects,"Projects",https://normcph.com/architecture/,editorial,8,"layout | interaction | editorial"
ui-046,ui,Apple,"Store Product Detail",https://www.apple.com/shop/buy-iphone,product,8,"layout | interaction | product"
ui-047,ui,Stripe,"Dashboard Tables",https://docs.stripe.com/dashboard/basics,table,8,"layout | interaction | table"
ui-048,ui,GitHub,"Actions Run",https://docs.github.com/actions/monitoring-and-troubleshooting-workflows/monitoring-workflows/viewing-workflow-run-history,execution,8,"layout | interaction | execution"
ui-049,ui,GitLab Pajamas,"Empty State",https://design.gitlab.com/components/empty-state,empty-state,8,"layout | interaction | empty-state"
ui-050,ui,Adobe Spectrum,"Progress Circle",https://spectrum.adobe.com/page/progress-circle/,loading,8,"layout | interaction | loading"
ui-051,ui,WAI-ARIA,"Dialog Pattern",https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/,accessibility,8,"layout | interaction | accessibility"
lib-001,library,beUI,"beUI",https://beui.dev/,component-library,9,"agent components | motion patterns"
lib-002,library,shadcn/ui,"shadcn/ui",https://ui.shadcn.com/,component-library,9,"accessible foundations | forms"
lib-003,library,Radix UI,"Radix UI",https://www.radix-ui.com/primitives,component-library,9,"dialogs | menus | popovers"
lib-004,library,Motion,"Motion",https://motion.dev/,component-library,9,"layout transitions | presence"
lib-005,library,Recharts,"Recharts",https://recharts.org/,component-library,8,"time series | accessible chart shells"
lib-006,library,Lucide,"Lucide",https://lucide.dev/,component-library,9,"operational icons"
lib-007,library,Magic UI,"Magic UI",https://magicui.design/,component-library,6,"selective effects"
lib-008,library,Mantine,"Mantine",https://mantine.dev/,component-library,6,"complete application controls"
lib-009,library,Headless UI,"Headless UI",https://headlessui.com/,component-library,7,"menus | dialogs"
lib-010,library,React Aria,"React Aria",https://react-spectrum.adobe.com/react-aria/,component-library,7,"complex accessible interactions"
lib-011,library,Tremor,"Tremor",https://www.tremor.so/,component-library,7,"operational charts | tracker"
lib-012,library,TanStack Table,"TanStack Table",https://tanstack.com/table/latest,component-library,8,"dense data tables"
lib-013,library,TanStack Virtual,"TanStack Virtual",https://tanstack.com/virtual/latest,component-library,8,"long logs | large tables"
lib-014,library,Shiki,"Shiki",https://shiki.style/,component-library,7,"logs | tool payloads"
lib-015,library,React Hook Form,"React Hook Form",https://react-hook-form.com/,component-library,8,"checkout | settings"
lib-016,library,Sonner,"Sonner",https://sonner.emilkowal.ski/,component-library,7,"compact feedback"
lib-017,library,Ariakit,"Ariakit",https://ariakit.org/,component-library,7,"command menu | composite widgets"
lib-018,library,Ark UI,"Ark UI",https://ark-ui.com/,component-library,6,"complex widgets"
lib-019,library,Base UI,"Base UI",https://base-ui.com/,component-library,7,"forms | overlays"
lib-020,library,React Flow,"React Flow",https://reactflow.dev/,component-library,8,"service graph"
lib-021,library,Visx,"Visx",https://airbnb.io/visx/,component-library,6,"custom charts"
lib-022,library,Floating UI,"Floating UI",https://floating-ui.com/,component-library,6,"tooltips | menus"
lib-023,library,Vaul,"Vaul",https://vaul.emilkowal.ski/,component-library,7,"mobile evidence drawer"
lib-024,library,cmdk,"cmdk",https://cmdk.paco.me/,component-library,7,"command palette"
lib-025,library,Paper Shaders,"Paper Shaders",https://shaders.paper.design/,component-library,5,"storefront hero ambience"
ds-001,design-system,Carbon Design System,"Carbon Design System",https://carbondesignsystem.com/,design-system,9,"dark layering | data tables | motion"
ds-002,design-system,Primer,"Primer",https://primer.style/,design-system,9,"data visualization | developer tools"
ds-003,design-system,Atlassian Design System,"Atlassian Design System",https://atlassian.design/,design-system,8,"status | content | accessibility"
ds-004,design-system,GOV.UK Design System,"GOV.UK Design System",https://design-system.service.gov.uk/,design-system,8,"focus | forms | errors"
ds-005,design-system,Adobe Spectrum,"Adobe Spectrum",https://spectrum.adobe.com/,design-system,7,"accessible states | progress"
ds-006,design-system,Shopify Polaris,"Shopify Polaris",https://polaris.shopify.com/,design-system,8,"commerce workflows | tables"
ds-007,design-system,GitLab Pajamas,"GitLab Pajamas",https://design.gitlab.com/,design-system,7,"empty states | content voice"
ds-008,design-system,WAI-ARIA APG,"WAI-ARIA APG",https://www.w3.org/WAI/ARIA/apg/,design-system,10,"dialogs | menus | tabs"
